Slop	1
one \& two	6.36	6.16	6.18	6.80	6.17
two \& one	5.82	5.81	5.82	5.83	5.81
Slop	2
one \& two	9.15	9.14	9.13	9.11	9.11
two \& one	7.71	7.69	7.70	7.69	7.71
Slop	3
one \& two	16.33	16.30	16.37	16.29	16.33
two \& one	11.63	11.62	11.63	11.62	11.53
Slop	4
one \& two	32.07	31.43	31.44	31.45	31.41
two \& one	17.03	17.20	17.09	17.07	17.31
Slop	5
one \& two	35.08	35.26	34.78	34.83	35.15
two \& one	22.17	22.15	21.90	22.15	22.13
Slop	6
one \& two	55.00	55.07	54.70	55.27	54.98
two \& one	29.39	29.10	29.13	35.83	30.99
Slop	7
one \& two	92.32	92.42	93.03	89.42	86.49
two \& one	38.57	37.75	37.82	37.25	39.42
Slop	8
one \& two	119.80	119.67	119.60	119.47	119.39
two \& one	51.00	50.73	50.72	50.17	50.96
